text,label,severity,is_implicit,is_sarcasm,target_group,target_type,directness,call_to_action,tone,emotion,profanity_count,platform,domain,region,confidence,annotator_id
आज सुबह की ठंडी हवा का आनंद लिया।,non_hate,none,false,false,none,none,none,false,neutral,joy,0,general,general,india,0.95,A1
हमने गरम चाय के साथ नाश्ता किया और अच्छा लगा।,non_hate,none,false,false,none,none,none,false,neutral,none,0,chat,education,india,0.96,A1
स्कूल में क्रिकेट मैच पर चर्चा की फिर सब मुस्कुराए।,non_hate,none,false,false,none,none,none,false,neutral,none,0,social_media,sports,rural_india,0.97,A1
घर पर बच्चों की पढ़ाई में मदद की जिससे मन शांत हुआ।,non_hate,none,false,false,none,none,none,false,neutral,joy,0,news,health,india,0.98,A1
मोहल्ले में बरसात के बाद की खुशबू महसूस की।,non_hate,none,false,false,none,none,none,false,neutral,none,0,general,general,india,0.99,A1
डॉक्टर ने परिवार के साथ खाना बनाया और अच्छा लगा।,non_hate,none,false,false,none,none,none,false,neutral,none,0,chat,education,rural_india,0.95,A1
ऑफिस में स्वास्थ्य जांच की रिपोर्ट देखी फिर सब मुस्कुराए।,non_hate,none,false,false,none,none,none,false,neutral,joy,0,social_media,sports,india,0.96,A1
शाम को पड़ोसियों के साथ सफाई अभियान किया जिससे मन शांत हुआ।,non_hate,none,false,false,none,none,none,false,neutral,none,0,news,health,india,0.97,A1
आज सुबह की ठंडी हवा का आनंद लिया।,non_hate,none,false,false,none,none,none,false,neutral,none,0,general,general,rural_india,0.98,A1
हमने गरम चाय के साथ नाश्ता किया और अच्छा लगा।,non_hate,none,false,false,none,none,none,false,neutral,joy,0,chat,education,india,0.99,A1
स्कूल में क्रिकेट मैच पर चर्चा की फिर सब मुस्कुराए।,non_hate,none,false,false,none,none,none,false,neutral,none,0,social_media,sports,india,0.95,A1
घर पर बच्चों की पढ़ाई में मदद की जिससे मन शांत हुआ।,non_hate,none,false,false,none,none,none,false,neutral,none,0,news,health,rural_india,0.96,A1
मोहल्ले में बरसात के बाद की खुशबू महसूस की।,non_hate,none,false,false,none,none,none,false,neutral,joy,0,general,general,india,0.97,A1
डॉक्टर ने परिवार के साथ खाना बनाया और अच्छा लगा।,non_hate,none,false,false,none,none,none,false,neutral,none,0,chat,education,india,0.98,A1
ऑफिस में स्वास्थ्य जांच की रिपोर्ट देखी फिर सब मुस्कुराए।,non_hate,none,false,false,none,none,none,false,neutral,none,0,social_media,sports,rural_india,0.99,A1
शाम को पड़ोसियों के साथ सफाई अभियान किया जिससे मन शांत हुआ।,non_hate,none,false,false,none,none,none,false,neutral,joy,0,news,health,india,0.95,A1
आज सुबह की ठंडी हवा का आनंद लिया।,non_hate,none,false,false,none,none,none,false,neutral,none,0,general,general,india,0.96,A1
हमने गरम चाय के साथ नाश्ता किया और अच्छा लगा।,non_hate,none,false,false,none,none,none,false,neutral,none,0,chat,education,rural_india,0.97,A1
स्कूल में क्रिकेट मैच पर चर्चा की फिर सब मुस्कुराए।,non_hate,none,false,false,none,none,none,false,neutral,joy,0,social_media,sports,india,0.98,A1
